program,bronzeg,silverg,silver,gold,premium,persesi,tigasesil,tigasesin,bundling,garansi,sesisilver,sesigold,sesipremium,olevel,alevel,igcse
IELTS,2500000,2700000,3500000,5500000,7500000,400000,1200000,3000000,3500000,11800000,12,20,30,Languages,Science,Math
IELTSWHV,2500000,2700000,3500000,5500000,7500000,400000,1200000,3000000,3500000,11800000,12,20,30,Math,Humanities,Physics
TOEFLiBT,2500000,2700000,3500000,5500000,7500000,400000,1200000,3000000,3500000,11800000,12,20,30,Science,Social Sciences,Chemistry
TOEFLITP,2500000,2700000,3500000,5500000,7500000,400000,1200000,3000000,3500000,11800000,12,20,30,Social Sciences,Languages,Biology
TOEIC,2500000,2700000,3500000,5500000,7500000,400000,1200000,3000000,2500000,11800000,12,20,30,Computer Sciences,Arts and Design,Combined Science
PTE,2500000,2700000,3500000,5500000,7500000,400000,1200000,3000000,3500000,11800000,12,20,30,Business,,Economy
GMAT,4800000,5400000,5400000,8500000,12000000,590000,1750000,4500000,4200000,19000000,12,20,30,Arts and Design,,Accounting
GRE,4800000,5400000,5400000,8500000,12000000,590000,1750000,4500000,3900000,19000000,12,20,30,,,Business English
SAT,4800000,5400000,5400000,8500000,12000000,590000,1750000,4500000,To Be Informed,19000000,12,20,30,,,English
ACT,4800000,5400000,5400000,8500000,12000000,590000,1750000,4500000,To Be Informed,19000000,12,20,30,,,
GED,,,5400000,8500000,12000000,590000,1750000,4500000,To Be Informed,19000000,12,20,30,,,
IGCSE,,,5400000,8500000,12000000,590000,1750000,4500000,To Be Informed,19000000,12,20,30,,,
ALEVEL,,,5400000,8500000,12000000,,,,,,12,20,30,,,
OLEVEL,,,5400000,8500000,12000000,,,,,,12,20,30,,,
LSAT,,,10000000,18000000,25000000,,,,,,12,20,30,,,
ASLEVEL,,,5400000,8500000,12000000,,,,,,12,20,30,,,
BIPA,,,5400000,8500000,12000000,,,,,,12,20,30,,,
DELF,,,4500000,6500000,9000000,400000,,,,,18,30,45,,,
HSK,,,4500000,6500000,9000000,400000,,,,,18,30,45,,,
JLPT,,,4500000,6500000,9000000,400000,,,,,18,30,45,,,
TESDAF,,,4500000,6500000,9000000,400000,,,,,18,30,45,,,
TOPIK,,,4500000,6500000,9000000,400000,,,,,18,30,45,,,
Scholarship,,,3500000,5000000,7000000,400000,,,,,6,10,15,,,
IB,,,5400000,8500000,12000000,400000,,,,,,,,,,
GENERALENGLISH,,,4500000,6500000,9000000,,,,,,,,,,,
BUSINESSENGLISH,,,4500000,6500000,9000000,,,,,,,,,,,
UTBK,,,5999000,10599000,21299000,,,,,,,,,,,
AUSBILDUNG,,,,,,,,,,,,,,,,
TPA,4800000,5400000,5400000,8500000,12000000,590000,1750000,4500000,,,12,20,30,Arts and Design,,Accounting